6.092,-0.088,-0.868,20
2.742,1.135,0.045,21
1.864,3.555,-10.241,19
-0.829,1.407,0.212,20
-4.668,0.146,1.751,20
0.142,4.639,-0.285,20
1.196,1.262,-2.196,20
-1.767,0.248,4.746,20
-1.693,0.956,4.34,20
-1.765,-0.268,3.104,20
-2.183,-0.353,2.458,20
-1.707,-1.085,-0.157,20
-1.743,-1.614,-4.279,20
-2.335,-1.565,-3.678,20
-3.128,-2.167,-2.724,20
-3.375,-1.838,-4.107,20
-3.158,-1.568,-4.549,20
-2.472,-1.273,-4.689,20
-1.828,-0.965,-5.056,20
-1.257,-0.73,-5.326,20
-2.338,-0.011,-3.802,21
-1.897,-0.027,-2.146,19
-0.794,0.595,-2.69,20
-0.896,0.475,-2.395,20
-1.039,0.523,-1.561,20
-1.262,1.272,-0.983,20
-0.86,2.067,-1.014,20
-0.464,2.205,-0.507,20
-0.745,4.475,-0.508,20
-1.067,9.061,2.602,20
-0.305,10.715,4.901,20
1.784,10.264,5.644,20
3.683,7.393,2.037,20
3.384,3.163,-0.312,20
2.89,-2.436,-2.987,20
-0.147,-8.751,-6.084,20
-9.812,-18.271,-10.828,20
-11.123,-18.461,-10.926,20
-9.313,-16.287,-11.239,20
0.211,-10.168,-6.348,20
1.664,-2.462,-1.292,20
4.962,5.419,4.637,20
11.646,13.703,6.863,20
12.92,16.393,9.865,20
10.266,14.762,13.585,20
9.998,13.286,11.864,20
6.757,11.957,5.075,20
4.142,10.761,3.482,20
1.004,6.125,-0.218,20
-1.25,-2.338,-2.179,20
-2.599,-15.964,-5.84,20
-4.882,-21.237,-8.626,20
-8.737,-22.259,-8.978,20
-9.717,-20.033,-9.382,20
-6.168,-18.03,-8.909,20
-4.31,-13.615,-6.872,20
-2.439,-5.151,-4.013,20
3.768,14.032,-0.569,20
8.416,19.532,1.728,20
9.126,17.579,5.77,20
5.903,15.821,10.442,20
2.046,14.239,8.062,20
-1.545,12.815,6.014,20
-3.873,11.353,3.586,20
-2.253,2.701,1.271,21
-2.829,0.69,0.48,19
-2.339,-0.774,-1.644,20
-1.7,-2.024,-4.419,20
-2.176,-1.822,-4.537,20
-2.562,-1.631,-2.739,20
-1.711,-1.037,-1.922,20
-0.833,-0.64,-2.919,20
-1.189,-0.455,-1.386,20
-0.829,-0.056,-0.523,20
-1.091,-0.12,-1.712,21
-2.154,0.262,-1.601,19
-1.706,0.831,-1.631,20
-1.742,0.885,-0.907,20
-2.007,1.297,-0.136,20
-1.445,1.4,-0.372,20
-0.283,1.518,-0.955,20
-0.617,1.418,-0.437,20
-0.882,0.975,0.183,20
-0.613,0.584,0.251,20
-0.138,0.448,1.148,20
-0.116,0.446,1.335,20
-0.259,0.203,0.667,20
-0.569,0.123,0.212,20
-0.193,0.757,0.096,20
